ActionGeo_CountryCode,events,avg_tone,median_tone,conflict_share,material_conflict_share,protest_share,diplomacy_share,avg_goldstein,avg_attention,total_mentions,negative_tone_score,inverse_goldstein,negative_tone_score_scaled,conflict_share_scaled,material_conflict_share_scaled,avg_attention_scaled,inverse_goldstein_scaled,global_tension_index_0_100
VC,13,-1.6253478905171255,-2.74193548387097,0.15384615384615385,0.15384615384615385,0.0,0.6153846153846154,1.0307692307692309,3.9809028140010523,59,1.6253478905171255,0.0,0.13002783124137005,0.15384615384615385,0.2692307692307693,0.5576956739175746,0.0,22.216008564717356
UK,3800,-1.6747580713017696,-1.722901103250385,0.24789473684210525,0.12368421052631579,0.008157894736842105,0.4089473684210526,0.6777368421052632,3.81476006826019,18617,1.6747580713017696,0.0,0.13398064570414156,0.24789473684210525,0.21644736842105264,0.5089662614908071,0.0,22.145780249162133
HK,79,-1.5265996568968991,-1.35135135135135,0.20253164556962025,0.08860759493670886,0.0,0.31645569620253167,0.6683544303797468,4.197931420680564,471,1.5265996568968991,0.0,0.12212797255175194,0.20253164556962025,0.15506329113924053,0.621349831287694,0.0,22.021454810966134
GQ,37,-1.336379508476095,-3.16309719934103,0.21621621621621623,0.08108108108108109,0.0,0.43243243243243246,1.337837837837838,4.237459219921053,208,1.336379508476095,0.0,0.1069103606780876,0.21621621621621623,0.1418918918918919,0.6329432741607075,0.0,21.959234858938064
SP,354,-1.12236288258967,-0.49928673323823,0.2627118644067797,0.12994350282485875,0.014124293785310734,0.4180790960451977,0.6641242937853107,3.8152647363233547,1625,1.12236288258967,0.0,0.08978903060717361,0.2627118644067797,0.22740112994350284,0.509114279859463,0.0,21.780326096338385
CA,2811,-0.9594793725298427,-0.86526576019778,0.21949484169334757,0.12344361437210957,0.004624688722874422,0.39381003201707576,0.8207043756670224,3.9932186884583842,14884,0.9594793725298427,0.0,0.07675834980238742,0.21949484169334757,0.21602632515119177,0.5613079010006858,0.0,21.471748352952254
CJ,22,-1.2667205173857377,-1.80072028811524,0.13636363636363635,0.09090909090909091,0.0,0.4090909090909091,1.5454545454545454,4.328383428230224,125,1.2667205173857377,0.0,0.10133764139085902,0.13636363636363635,0.15909090909090912,0.6596112049603198,0.0,21.128067836114486
PE,92,-2.005046949762412,-1.81236673773987,0.20652173913043478,0.14130434782608695,0.0,0.31521739130434784,1.7195652173913043,3.5838450121533403,365,2.005046949762412,0.0,0.16040375598099296,0.20652173913043478,0.24728260869565216,0.44123922980847635,0.0,21.108946672311127
MI,31,0.2710005932470616,-0.59880239520958,0.41935483870967744,0.0,0.0,0.25806451612903225,0.8,4.211950897609585,180,0.0,0.0,0.0,0.41935483870967744,0.0,0.6254617223620559,0.0,20.896331221434668
BE,194,-2.012763232818066,-1.73611111111111,0.22164948453608246,0.10824742268041238,0.005154639175257732,0.4742268041237113,1.047938144329897,3.683719313802046,827,2.012763232818066,0.0,0.16102105862544527,0.22164948453608246,0.18943298969072167,0.4705322092531888,0.0,20.852714842108764
